127.0.0.1 - - [29/Dec/2023:18:14:39 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [29/Dec/2023:18:14:40 +0530] "GET /Weather_Application/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2023:18:14:40 +0530] "GET /Weather_Application/index.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [29/Dec/2023:18:14:40 +0530] "GET /Weather_Application/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2023:18:14:40 +0530] "GET /Weather_Application/practice.js HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [29/Dec/2023:18:14:40 +0530] "GET /Weather_Application/images/Weatherimage.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2023:18:14:40 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [29/Dec/2023:18:14:49 +0530] "POST /Weather_Application/weatherServlet HTTP/1.1" 200 1803
0:0:0:0:0:0:0:1 - - [29/Dec/2023:18:14:49 +0530] "GET /Weather_Application/index.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [29/Dec/2023:18:14:49 +0530] "GET /Weather_Application/practice.js HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [29/Dec/2023:18:14:49 +0530] "GET /Weather_Application/images/wind%202.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2023:18:14:49 +0530] "GET /Weather_Application/images/humidity-removebg-preview%20(1).png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Dec/2023:18:15:03 +0530] "POST /Weather_Application/weatherServlet HTTP/1.1" 200 1802
0:0:0:0:0:0:0:1 - - [29/Dec/2023:18:15:03 +0530] "GET /Weather_Application/index.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [29/Dec/2023:18:15:03 +0530] "GET /Weather_Application/practice.js HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [29/Dec/2023:18:15:05 +0530] "POST /Weather_Application/weatherServlet HTTP/1.1" 200 1758
0:0:0:0:0:0:0:1 - - [29/Dec/2023:18:15:05 +0530] "GET /Weather_Application/practice.js HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [29/Dec/2023:18:15:05 +0530] "GET /Weather_Application/index.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [29/Dec/2023:18:15:10 +0530] "POST /Weather_Application/weatherServlet HTTP/1.1" 200 1802
0:0:0:0:0:0:0:1 - - [29/Dec/2023:18:15:10 +0530] "GET /Weather_Application/index.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [29/Dec/2023:18:15:10 +0530] "GET /Weather_Application/practice.js HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [29/Dec/2023:18:15:19 +0530] "POST /Weather_Application/weatherServlet HTTP/1.1" 200 1801
0:0:0:0:0:0:0:1 - - [29/Dec/2023:18:15:19 +0530] "GET /Weather_Application/index.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [29/Dec/2023:18:15:19 +0530] "GET /Weather_Application/practice.js HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [29/Dec/2023:18:15:46 +0530] "POST /Weather_Application/weatherServlet HTTP/1.1" 200 1803
0:0:0:0:0:0:0:1 - - [29/Dec/2023:18:15:46 +0530] "GET /Weather_Application/index.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [29/Dec/2023:18:15:46 +0530] "GET /Weather_Application/practice.js HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [29/Dec/2023:18:15:52 +0530] "POST /Weather_Application/weatherServlet HTTP/1.1" 200 1798
0:0:0:0:0:0:0:1 - - [29/Dec/2023:18:15:52 +0530] "GET /Weather_Application/index.js HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [29/Dec/2023:18:15:52 +0530] "GET /Weather_Application/practice.js HTTP/1.1" 404 786
