127.0.0.1 - - [05/Jan/2024:10:27:03 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [05/Jan/2024:10:27:10 +0530] "GET /FoodDelivaryApp/RestaurentServlet HTTP/1.1" 200 11336
0:0:0:0:0:0:0:1 - - [05/Jan/2024:10:27:10 +0530] "GET /FoodDelivaryApp/images/pexels-chan-walrus-958545.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:10:27:10 +0530] "GET /FoodDelivaryApp/CSS/restaurent.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:10:27:10 +0530] "GET /FoodDelivaryApp/images/pasta.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:10:27:10 +0530] "GET /FoodDelivaryApp/images/pexels-rajesh-tp-1600727.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:10:27:10 +0530] "GET /FoodDelivaryApp/JS/restaurent.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:10:27:10 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [05/Jan/2024:10:28:13 +0530] "GET /FoodDelivaryApp/Restaurents.jsp HTTP/1.1" 200 10087
0:0:0:0:0:0:0:1 - - [05/Jan/2024:10:28:50 +0530] "GET /FoodDelivaryApp/Menus.jsp HTTP/1.1" 200 695
0:0:0:0:0:0:0:1 - - [05/Jan/2024:10:28:50 +0530] "GET /FoodDelivaryApp/jsfile.js HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [05/Jan/2024:10:28:50 +0530] "GET /FoodDelivaryApp/CSS/menu.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/Jan/2024:10:29:00 +0530] "GET /FoodDelivaryApp/RestaurentServlet HTTP/1.1" 200 11336
0:0:0:0:0:0:0:1 - - [05/Jan/2024:10:29:02 +0530] "GET /FoodDelivaryApp/MenuServlet?restaurantId=1 HTTP/1.1" 200 3126
0:0:0:0:0:0:0:1 - - [05/Jan/2024:10:29:02 +0530] "GET /FoodDelivaryApp/jsfile.js HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [05/Jan/2024:10:29:21 +0530] "POST /FoodDelivaryApp/OrderItemServlet HTTP/1.1" 500 1524
0:0:0:0:0:0:0:1 - - [05/Jan/2024:10:29:36 +0530] "GET /FoodDelivaryApp/MenuServlet?restaurantId=1 HTTP/1.1" 200 3126
0:0:0:0:0:0:0:1 - - [05/Jan/2024:10:29:36 +0530] "GET /FoodDelivaryApp/jsfile.js HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [05/Jan/2024:10:29:47 +0530] "GET /FoodDelivaryApp/MenuServlet?restaurantId=1 HTTP/1.1" 200 3126
0:0:0:0:0:0:0:1 - - [05/Jan/2024:10:29:47 +0530] "GET /FoodDelivaryApp/jsfile.js HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [05/Jan/2024:10:29:55 +0530] "GET /FoodDelivaryApp/MenuServlet?restaurantId=1 HTTP/1.1" 200 3126
0:0:0:0:0:0:0:1 - - [05/Jan/2024:10:29:55 +0530] "GET /FoodDelivaryApp/jsfile.js HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [05/Jan/2024:10:30:04 +0530] "GET /FoodDelivaryApp/MenuServlet?restaurantId=2 HTTP/1.1" 200 819
0:0:0:0:0:0:0:1 - - [05/Jan/2024:10:30:04 +0530] "GET /FoodDelivaryApp/jsfile.js HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [05/Jan/2024:10:30:14 +0530] "GET /FoodDelivaryApp/MenuServlet?restaurantId=1 HTTP/1.1" 200 3126
0:0:0:0:0:0:0:1 - - [05/Jan/2024:10:30:14 +0530] "GET /FoodDelivaryApp/jsfile.js HTTP/1.1" 404 780
